Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
ShirleyJoe,0,0,23,4,0,0,0,0,0,0,0,0,0,56,14,6,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,6,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Shirley_Joe.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,Papua New Guinea Orchids
GloriaKaupa,0,0,61,0,0,0,0,0,0,0,0,0,0,2,0.25,16,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Gloria_Kaupa.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,Papua New Guinea Orchids
EmilyVeivers,0,1,27,0,0,0,0,0,0,0,0,0,0,3,0.75,10,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,10,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Emily_Veivers.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,Papua New Guinea Orchids
EssayBanu,0,0,109,1,0,0,0,0,0,0,0,0,0,1,0.08,54,2,0,0,0,0,0,0,0,15,0,0,0,0,0,2,0,0,0,7,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Essay_Banu.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,Papua New Guinea Orchids
JessikahReeves,0,0,95,0,0,0,0,0,0,0,0,0,0,4,0.4,46,2,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,1,8,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Jessikah_Reeves.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,Papua New Guinea Orchids
UaRavu,0,0,32,6,0,0,0,0,0,0,0,0,0,33,4.13,12,0,0,0,0,0,0,0,0,29,0,0,0,1,0,0,0,1,1,8,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Ua_Ravu.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,Papua New Guinea Orchids
CarolHumeu,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,1,3,0,0,0,1,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Carol_Humeu.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,Papua New Guinea Orchids
MichelleJohn,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,1,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Michelle_John.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,Papua New Guinea Orchids
Shae YvonneDe La Cruz,0,0,9,1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Shae_Yvonne_De_La_Cruz.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,Papua New Guinea Orchids
TalithaKunjil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Talitha_Kunjil.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,Papua New Guinea Orchids
